1760596586.307398 server started (2384003): version next-3.7, socket /tmp/smux-1000//tmp/smux-debug.log, protocol 8
1760596586.307413 on Linux 6.16.7-arch1-1 #1 SMP PREEMPT_DYNAMIC Thu, 11 Sep 2025 17:42:36 +0000
1760596586.307419 using libevent 2.1.12-stable poll
1760596586.307420 using ncurses 6.5 20240427
1760596586.307463 input_key_build: 0x10e003 (PasteStart) is \033[200~
1760596586.307464 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1760596586.307465 input_key_build: 0x10e25b (F1) is \033OP
1760596586.307466 input_key_build: 0x10e25c (F2) is \033OQ
1760596586.307467 input_key_build: 0x10e25d (F3) is \033OR
1760596586.307468 input_key_build: 0x10e25e (F4) is \033OS
1760596586.307469 input_key_build: 0x10e25f (F5) is \033[15~
1760596586.307470 input_key_build: 0x10e260 (F6) is \033[17~
1760596586.307471 input_key_build: 0x10e261 (F7) is \033[18~
1760596586.307472 input_key_build: 0x10e262 (F8) is \033[19~
1760596586.307473 input_key_build: 0x10e263 (F9) is \033[20~
1760596586.307474 input_key_build: 0x10e264 (F10) is \033[21~
1760596586.307475 input_key_build: 0x10e265 (F11) is \033[23~
1760596586.307475 input_key_build: 0x10e266 (F12) is \033[24~
1760596586.307476 input_key_build: 0x10e267 (IC) is \033[2~
1760596586.307477 input_key_build: 0x10e268 (DC) is \033[3~
1760596586.307478 input_key_build: 0x10e269 (Home) is \033[1~
1760596586.307479 input_key_build: 0x10e26a (End) is \033[4~
1760596586.307480 input_key_build: 0x10e26b (NPage) is \033[6~
1760596586.307481 input_key_build: 0x10e26c (PPage) is \033[5~
1760596586.307482 input_key_build: 0x10e26d (BTab) is \033[Z
1760596586.307483 input_key_build: 0x10e26e (Up) is \033[A
1760596586.307484 input_key_build: 0x10e26f (Down) is \033[B
1760596586.307484 input_key_build: 0x10e270 (Left) is \033[D
1760596586.307485 input_key_build: 0x10e271 (Right) is \033[C
1760596586.307486 input_key_build: 0x10e272 (KP/) is /
1760596586.307487 input_key_build: 0x10e273 (KP*) is *
1760596586.307488 input_key_build: 0x10e274 (KP-) is -
1760596586.307489 input_key_build: 0x10e275 (KP7) is 7
1760596586.307490 input_key_build: 0x10e276 (KP8) is 8
1760596586.307491 input_key_build: 0x10e277 (KP9) is 9
1760596586.307492 input_key_build: 0x10e278 (KP+) is +
1760596586.307493 input_key_build: 0x10e279 (KP4) is 4
1760596586.307494 input_key_build: 0x10e27a (KP5) is 5
1760596586.307495 input_key_build: 0x10e27b (KP6) is 6
1760596586.307496 input_key_build: 0x10e27c (KP1) is 1
1760596586.307497 input_key_build: 0x10e27d (KP2) is 2
1760596586.307498 input_key_build: 0x10e27e (KP3) is 3
1760596586.307499 input_key_build: 0x10e27f (KPEnter) is \n
1760596586.307499 input_key_build: 0x10e280 (KP0) is 0
1760596586.307500 input_key_build: 0x10e281 (KP.) is .
1760596586.307502 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1760596586.307504 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1760596586.307505 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1760596586.307506 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1760596586.307507 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1760596586.307508 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1760596586.307508 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1760596586.307509 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1760596586.307510 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1760596586.307511 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1760596586.307512 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1760596586.307513 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1760596586.307514 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
1760596586.307515 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1760596586.307515 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1760596586.307516 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1760596586.307517 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
1760596586.307518 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
1760596586.307519 input_key_build: 0x20000010e26b (C-NPage) is \033[6;5~
1760596586.307520 input_key_build: 0x20000010e26c (C-PPage) is \033[5;5~
1760596586.307523 input_key_build: 0x20000010e26e (C-Up) is \033[1;5A
1760596586.307525 input_key_build: 0x20000010e26f (C-Down) is \033[1;5B
1760596586.307526 input_key_build: 0x20000010e270 (C-Left) is \033[1;5D
1760596586.307527 input_key_build: 0x20000010e271 (C-Right) is \033[1;5C
1760596586.307528 input_key_build: 0x40000010e25b (S-F1) is \033[1;2P
1760596586.307529 input_key_build: 0x40000010e25c (S-F2) is \033[1;2Q
1760596586.307530 input_key_build: 0x40000010e25d (S-F3) is \033[1;2R
1760596586.307531 input_key_build: 0x40000010e25e (S-F4) is \033[1;2S
1760596586.307532 input_key_build: 0x40000010e25f (S-F5) is \033[15;2~
1760596586.307533 input_key_build: 0x40000010e260 (S-F6) is \033[17;2~
1760596586.307534 input_key_build: 0x40000010e261 (S-F7) is \033[18;2~
1760596586.307535 input_key_build: 0x40000010e262 (S-F8) is \033[19;2~
1760596586.307535 input_key_build: 0x40000010e263 (S-F9) is \033[20;2~
1760596586.307536 input_key_build: 0x40000010e264 (S-F10) is \033[21;2~
1760596586.307537 input_key_build: 0x40000010e265 (S-F11) is \033[23;2~
1760596586.307538 input_key_build: 0x40000010e266 (S-F12) is \033[24;2~
1760596586.307539 input_key_build: 0x40000010e267 (S-IC) is \033[2;2~
1760596586.307540 input_key_build: 0x40000010e268 (S-DC) is \033[3;2~
1760596586.307541 input_key_build: 0x40000010e269 (S-Home) is \033[1;2H
1760596586.307542 input_key_build: 0x40000010e26a (S-End) is \033[1;2F
1760596586.307542 input_key_build: 0x40000010e26b (S-NPage) is \033[6;2~
1760596586.307543 input_key_build: 0x40000010e26c (S-PPage) is \033[5;2~
1760596586.307544 input_key_build: 0x40000010e26e (S-Up) is \033[1;2A
1760596586.307545 input_key_build: 0x40000010e26f (S-Down) is \033[1;2B
1760596586.307546 input_key_build: 0x40000010e270 (S-Left) is \033[1;2D
1760596586.307547 input_key_build: 0x40000010e271 (S-Right) is \033[1;2C
1760596586.307548 input_key_build: 0x60000010e25b (C-S-F1) is \033[1;6P
1760596586.307549 input_key_build: 0x60000010e25c (C-S-F2) is \033[1;6Q
1760596586.307550 input_key_build: 0x60000010e25d (C-S-F3) is \033[1;6R
1760596586.307551 input_key_build: 0x60000010e25e (C-S-F4) is \033[1;6S
1760596586.307551 input_key_build: 0x60000010e25f (C-S-F5) is \033[15;6~
1760596586.307552 input_key_build: 0x60000010e260 (C-S-F6) is \033[17;6~
1760596586.307553 input_key_build: 0x60000010e261 (C-S-F7) is \033[18;6~
1760596586.307554 input_key_build: 0x60000010e262 (C-S-F8) is \033[19;6~
1760596586.307555 input_key_build: 0x60000010e263 (C-S-F9) is \033[20;6~
1760596586.307556 input_key_build: 0x60000010e264 (C-S-F10) is \033[21;6~
1760596586.307557 input_key_build: 0x60000010e265 (C-S-F11) is \033[23;6~
1760596586.307558 input_key_build: 0x60000010e266 (C-S-F12) is \033[24;6~
1760596586.307559 input_key_build: 0x60000010e267 (C-S-IC) is \033[2;6~
1760596586.307560 input_key_build: 0x60000010e268 (C-S-DC) is \033[3;6~
1760596586.307561 input_key_build: 0x60000010e269 (C-S-Home) is \033[1;6H
1760596586.307562 input_key_build: 0x60000010e26a (C-S-End) is \033[1;6F
1760596586.307563 input_key_build: 0x60000010e26b (C-S-NPage) is \033[6;6~
1760596586.307564 input_key_build: 0x60000010e26c (C-S-PPage) is \033[5;6~
1760596586.307564 input_key_build: 0x60000010e26e (C-S-Up) is \033[1;6A
1760596586.307565 input_key_build: 0x60000010e26f (C-S-Down) is \033[1;6B
1760596586.307566 input_key_build: 0x60000010e270 (C-S-Left) is \033[1;6D
1760596586.307567 input_key_build: 0x60000010e271 (C-S-Right) is \033[1;6C
1760596586.307569 input_key_build: 0x200000010e272 (KP/[K]) is \033Oo
1760596586.307570 input_key_build: 0x200000010e273 (KP*[K]) is \033Oj
1760596586.307571 input_key_build: 0x200000010e274 (KP-[K]) is \033Om
1760596586.307572 input_key_build: 0x200000010e275 (KP7[K]) is \033Ow
1760596586.307573 input_key_build: 0x200000010e276 (KP8[K]) is \033Ox
1760596586.307573 input_key_build: 0x200000010e277 (KP9[K]) is \033Oy
1760596586.307574 input_key_build: 0x200000010e278 (KP+[K]) is \033Ok
1760596586.307575 input_key_build: 0x200000010e279 (KP4[K]) is \033Ot
1760596586.307576 input_key_build: 0x200000010e27a (KP5[K]) is \033Ou
1760596586.307577 input_key_build: 0x200000010e27b (KP6[K]) is \033Ov
1760596586.307579 input_key_build: 0x200000010e27c (KP1[K]) is \033Oq
1760596586.307580 input_key_build: 0x200000010e27d (KP2[K]) is \033Or
1760596586.307581 input_key_build: 0x200000010e27e (KP3[K]) is \033Os
1760596586.307582 input_key_build: 0x200000010e27f (KPEnter[K]) is \033OM
1760596586.307582 input_key_build: 0x200000010e280 (KP0[K]) is \033Op
1760596586.307583 input_key_build: 0x200000010e281 (KP.[K]) is \033On
1760596586.307584 input_key_build: 0x400000010e26e (Up[C]) is \033OA
1760596586.307585 input_key_build: 0x400000010e26f (Down[C]) is \033OB
1760596586.307586 input_key_build: 0x400000010e270 (Left[C]) is \033OD
